lattice diameter Temperature    PS
100.00    19.87   546.15   200.00
t(s)      gC/gcat/min     nm/s       CXFNum     coverage
1868.56816     0.00021     0.00284     0.00000     0.00000
1872.31345     0.00021     0.00284     0.00000     0.00000
1876.31564     0.00021     0.00284     0.00000     0.00000
1880.27927     0.00021     0.00284     0.00000     0.00000
1883.83309     0.00021     0.00284     0.00000     0.00000
1887.82390     0.00021     0.00284     0.00000     0.00000
1892.08452     0.00021     0.00284     0.00000     0.00000
1895.92493     0.00021     0.00284     0.00000     0.00000
1899.70224     0.00021     0.00284     0.00000     0.00000
1903.31687     0.00021     0.00284     0.00000     0.00000
1907.62147     0.00021     0.00284     0.00000     0.00000
1911.97123     0.00021     0.00284     0.00000     0.00000
1916.12815     0.00021     0.00284     0.00000     0.00000
1919.63735     0.00021     0.00284     0.00000     0.00000
1922.61881     0.00021     0.00284     0.00000     0.00000
1927.15879     0.00021     0.00284     0.00000     0.00000
1930.80502     0.00021     0.00284     0.00000     0.00000
1934.34517     0.00021     0.00284     0.00000     0.00000
1938.14721     0.00021     0.00284     0.00000     0.00000
1941.29944     0.00021     0.00284     0.00000     0.00000
1945.14535     0.00021     0.00284     0.00000     0.00000
1949.16667     0.00021     0.00284     0.00000     0.00000
1953.15134     0.00021     0.00284     0.00000     0.00000
1956.57442     0.00021     0.00284     0.00000     0.00000
1960.88694     0.00021     0.00284     0.00000     0.00000
1964.98314     0.00021     0.00284     0.00000     0.00000
1968.16327     0.00021     0.00284     0.00000     0.00000
1971.65851     0.00021     0.00284     0.00000     0.00000
1975.96682     0.00021     0.00284     0.00000     0.00000
1979.62319     0.00021     0.00284     0.00000     0.00000
1982.77665     0.00021     0.00284     0.00000     0.00000
1986.01480     0.00021     0.00285     0.00000     0.00000
1989.83485     0.00021     0.00285     0.00000     0.00000
1993.40074     0.00021     0.00285     0.00000     0.00000
1997.21014     0.00021     0.00285     0.00000     0.00000
2001.40853     0.00021     0.00285     0.00000     0.00000
2005.21950     0.00021     0.00285     0.00000     0.00000
2009.11000     0.00021     0.00285     0.00000     0.00000
2013.21023     0.00021     0.00284     0.00000     0.00000
2017.07276     0.00021     0.00284     0.00000     0.00000
2021.14903     0.00021     0.00284     0.00000     0.00000
2024.84117     0.00021     0.00284     0.00000     0.00000
2028.58371     0.00021     0.00284     0.00000     0.00000
2032.09148     0.00021     0.00285     0.00000     0.00000
2036.02273     0.00021     0.00285     0.00000     0.00000
2039.10565     0.00021     0.00285     0.00000     0.00000
2042.93217     0.00021     0.00285     0.00000     0.00000
2046.99501     0.00021     0.00285     0.00000     0.00000
2050.66796     0.00021     0.00285     0.00000     0.00000
2054.71747     0.00021     0.00285     0.00000     0.00000
2058.49797     0.00021     0.00285     0.00000     0.00000
2062.57863     0.00021     0.00285     0.00000     0.00000
2066.93622     0.00021     0.00284     0.00000     0.00000
